Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
790,5.231143,0.014888,23.392,0.00292
791,5.255588,0.013272,23.463,0.012334
792,5.060402,0.014318,23.499,0.001767
793,4.785885,0.013339,23.534,0.022437
794,4.559939,0.013576,23.571,0.016083
795,4.510562,0.014245,23.571,0.018649
796,4.533619,0.011737,23.548,0.030994
797,4.738488,0.013461,23.568,0.029352
798,4.922266,0.015724,23.6,0.014016
799,4.94307,0.009536,23.649,0.015335
800,4.895838,0.013034,23.759,0.01212
801,4.850144,0.010089,23.871,0.002045
802,4.723283,0.007767,23.973,0.004984
803,4.620407,0.008097,24.034,-0.002819
804,4.574708,0.01094,24.099,-0.004413
805,4.519333,0.01033,24.145,0.008821
806,4.481881,0.009535,24.176,0.01518
807,4.557764,0.008831,24.202,-0.004189
808,4.624673,0.006888,24.221,0.005504
809,4.673898,0.007539,24.277,0.015008
810,4.781107,0.011719,24.31,0.002194
811,4.877326,0.01115,24.322,-0.007799
812,4.940161,0.012594,24.346,-0.000702
813,5.066292,0.008516,24.345,0.007129
814,5.211769,0.008264,24.364,-0.0009
815,5.345635,0.010472,24.374,-0.005852
816,5.663579,0.010714,24.395,-0.006891
817,6.10987,0.006902,24.413,-0.004931
818,6.898673,0.007777,24.433,-0.00251
819,7.885119,0.009907,24.471,0.002184
820,9.617455,0.010835,24.488,0.00187
821,13.655499,0.019338,24.507,-0.011141
822,21.11999,0.044276,24.526,-0.01827
823,37.199488,0.187098,24.538,-0.022787
824,42.173469,0.30658,24.528,-0.03246
825,42.635113,0.210735,24.546,-0.026975
826,35.643172,0.086347,24.593,0.015305
827,29.61358,0.052253,24.609,0.01972
828,31.937323,0.052933,24.632,-0.019751
829,30.091017,0.042336,24.657,-0.017945
830,21.828999,0.018985,24.66,-0.011597
831,16.171317,0.012255,24.691,-0.007092
832,12.861587,0.008367,24.703,-0.00152
833,12.262781,0.008066,24.705,6.9E-05
834,15.244663,0.013017,24.743,-0.008151
835,19.393644,0.013018,24.764,-0.020108
836,17.833405,0.009181,24.747,-0.011411
837,13.547164,0.005732,24.802,-0.022555
838,10.504065,0.003975,24.82,-0.023171
839,8.175585,0.005724,24.816,-0.007305
840,7.913454,0.006482,24.84,-0.007544
841,9.834367,0.004785,24.865,-0.025006
842,9.9268,0.00585,24.867,-0.026564
843,7.882361,0.004365,24.898,-0.026889
844,5.776355,0.004477,24.917,-0.035812
845,4.625717,0.004779,24.903,-0.030596
846,3.757574,0.005874,24.92,-0.00156
847,3.289091,0.007725,24.928,0.004346
848,2.907896,0.003468,24.971,0.008256
849,2.712319,0.003389,24.947,-0.000106
850,2.538613,0.000527,24.975,0.002832
851,2.397869,-0.000713,25.003,0.02091
852,2.313287,0.003154,25.024,-0.021122
853,2.309329,0.002798,25.033,-0.008447
854,2.2688,-0.000751,25.068,0.019088
855,2.222089,0.000552,25.077,0.002229
856,2.217746,0.002082,25.111,0.021881
857,2.253352,0.002164,25.114,0.024524
858,2.289181,0.003827,25.151,0.006096
859,2.292438,0.003725,25.156,-0.016448
860,2.347334,0.005895,25.183,0.005427
861,2.394288,0.003657,25.179,-0.005461
862,2.429416,0.002095,25.22,-0.023677
863,2.466384,0.002621,25.281,0.006262
864,2.606861,-0.001396,25.271,-0.014292
865,2.835064,-4E-06,25.27,-0.002614
866,3.092231,0.001005,25.267,0.010977
867,3.258626,0.005808,25.286,0.022218
868,3.523919,0.005104,25.259,0.024164
869,3.823975,0.002959,25.219,0.016396
870,4.142693,0.003452,25.233,0.001041
871,4.42788,0.003574,25.169,-0.025876
872,4.843279,0.006482,25.226,0.013
873,5.308027,0.005219,25.217,-0.004172
874,5.807513,0.003326,25.26,-0.032696
875,6.474695,0.001702,25.286,-0.01453
876,7.143927,0.002106,25.302,-0.002937
877,8.343185,0.001964,25.359,-0.011234
878,9.913651,0.003829,25.383,-0.024728
879,13.148296,0.016285,25.398,-0.012163
880,18.245065,0.020054,25.48,0.01578
881,29.589188,0.040208,25.509,0.032165
882,40.988434,0.075376,25.566,0.005624
